                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.88499,                0.27149,                0.33548,                0.55747,                 1.1679,                0.99731,                      1,                  0.995,                0.84838,                0.97238,                  0.975,                0.96416,                0.96416,                 0.6779,                0.30812,                0.14068,                0.40303,                 1.0307,              0.0007295,              0.0007295,              0.0007295
                     80,                0.91996,                0.32476,                 0.3415,                0.58486,                 1.1751,                0.99842,                      1,                  0.995,                0.85098,                0.97346,                  0.975,                 0.9649,                0.96203,                0.68883,                0.29474,                0.15236,                0.40358,                 1.0352,               0.000713,               0.000713,               0.000713
                     81,                0.81533,                0.25343,                0.32986,                0.54168,                 1.0899,                0.99837,                      1,                  0.995,                0.83552,                0.97338,                  0.975,                0.96669,                0.96669,                0.73505,                0.26788,                0.15458,                 0.4176,                  1.069,              0.0006965,              0.0006965,              0.0006965
                     82,                0.87908,                0.23286,                0.34025,                0.58209,                 1.1314,                0.99836,                      1,                  0.995,                0.79634,                 0.9734,                  0.975,                 0.9676,                0.95736,                0.84523,                 0.2353,                0.18641,                0.44451,                 1.1685,                0.00068,                0.00068,                0.00068
                     83,                0.90749,                0.30763,                0.34197,                0.56626,                 1.1424,                 0.9984,                      1,                  0.995,                0.79759,                0.97341,                  0.975,                0.96417,                0.96035,                0.82304,                0.21432,                0.18459,                0.44238,                  1.156,              0.0006635,              0.0006635,              0.0006635
                     84,                0.88808,                0.24943,                0.32641,                0.55826,                 1.1432,                0.99838,                      1,                  0.995,                0.79925,                0.97342,                  0.975,                0.96111,                0.96111,                0.77014,                0.20176,                0.17515,                  0.443,                 1.1205,               0.000647,               0.000647,               0.000647
                     85,                0.80467,                  0.211,                  0.313,                0.52754,                 1.0764,                0.99636,                      1,                  0.995,                0.82556,                0.97132,                  0.975,                0.95978,                0.95707,                0.76367,                 0.2172,                0.15817,                0.42265,                 1.1021,              0.0006305,              0.0006305,              0.0006305
                     86,                0.89708,                0.29581,                0.32092,                0.57304,                  1.131,                0.99763,                      1,                  0.995,                0.81997,                0.97264,                  0.975,                0.96282,                0.95467,                0.69672,                0.29242,                0.13775,                0.43387,                 1.0513,               0.000614,               0.000614,               0.000614
                     87,                0.89792,                0.29936,                0.32644,                0.57903,                 1.1312,                0.99552,                      1,                  0.995,                0.84373,                0.97054,                  0.975,                 0.9619,                0.94989,                0.69515,                0.29975,                0.13154,                0.41217,                 1.0463,              0.0005975,              0.0005975,              0.0005975
                     88,                0.85792,                0.31918,                   0.31,                 0.5396,                  1.109,                0.99546,                      1,                  0.995,                0.84514,                0.97048,                  0.975,                0.96426,                0.95703,                 0.7033,                0.30162,                0.13496,                0.40632,                 1.0455,               0.000581,               0.000581,               0.000581
