                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.81124,                0.21629,                0.16249,                0.50052,                 1.0991,                0.99735,                0.99167,                  0.995,                0.84116,                0.95544,                   0.95,                0.96374,                0.94234,                 0.6887,                0.42482,                0.02894,                0.34802,                 1.0101,               0.000713,               0.000713,               0.000713
                     81,                0.79745,                0.20641,                0.14661,                0.48709,                 1.0666,                0.99073,                0.99167,                  0.995,                0.83568,                0.95614,                0.95833,                0.95803,                0.94189,                0.68761,                0.42109,                0.01961,                0.34857,                 1.0142,              0.0006965,              0.0006965,              0.0006965
                     82,                 0.7912,                0.16434,                0.12777,                0.48481,                 1.0844,                0.99465,                0.99167,                  0.995,                0.84273,                0.96594,                0.96667,                0.95616,                0.94084,                0.67999,                0.38016,                0.01746,                0.35232,                  1.014,                0.00068,                0.00068,                0.00068
                     83,                0.79259,                0.18219,                0.15017,                0.48942,                 1.0752,                0.99049,                0.99167,                  0.995,                0.84504,                0.96505,                0.96667,                0.95679,                0.94219,                 0.6704,                 0.3508,                 0.0195,                 0.3366,                 1.0065,              0.0006635,              0.0006635,              0.0006635
                     84,                0.79153,                0.16036,                0.12596,                 0.4845,                 1.0891,                0.98838,                0.99167,                0.99458,                0.83332,                0.96338,                0.96667,                 0.9605,                0.94073,                0.70608,                0.33688,                0.01731,                 0.3432,                 1.0293,               0.000647,               0.000647,               0.000647
                     85,                0.74903,                0.13598,                0.12302,                0.47673,                 1.0925,                0.99165,                0.98925,                0.99467,                0.84391,                0.96659,                0.96425,                0.96419,                0.93554,                0.70846,                 0.3798,                0.02672,                0.36226,                 1.0196,              0.0006305,              0.0006305,              0.0006305
                     86,                0.78871,                0.17671,                 0.1406,                0.47759,                  1.074,                0.99171,                0.99664,                0.99483,                0.83046,                0.96665,                0.96616,                0.95995,                0.93604,                0.72518,                0.39758,                0.02113,                0.36203,                 1.0292,               0.000614,               0.000614,               0.000614
                     87,                0.77552,                 0.2052,                0.15375,                0.46612,                 1.0793,                0.99145,                      1,                0.99492,                   0.83,                0.96375,                0.96667,                0.95915,                0.94455,                0.71734,                0.38305,                0.01089,                 0.3548,                 1.0289,              0.0005975,              0.0005975,              0.0005975
                     88,                0.78996,                0.16139,                0.15341,                0.46737,                 1.0893,                0.99709,                      1,                  0.995,                0.81182,                0.96385,                0.96667,                 0.9569,                0.94484,                0.75127,                0.37037,                 0.0242,                0.36589,                 1.0473,               0.000581,               0.000581,               0.000581
                     89,                0.75778,                0.15177,                0.14641,                0.46586,                 1.0816,                0.99558,                      1,                  0.995,                0.82248,                0.96217,                0.96667,                 0.9574,                0.93458,                0.73013,                0.38867,                0.05032,                0.35212,                 1.0305,              0.0005645,              0.0005645,              0.0005645
